region,account_city,latitude,longitude
Attiki,Vari,37.84,23.81
Attiki,Glyfada,37.88,23.76
Attiki,Markopoulo,37.88,23.93
Attiki,Elliniko,37.90,23.76
Attiki,Koropi,37.90,23.87
Attiki,Alimos,37.92,23.77
Attiki,Palaio Faliro,37.93,23.70
Attiki,Agios Dimitrios,37.93,23.73
Attiki,Ilioupoli,37.93,23.75
Attiki,Piraeus,37.96,23.65
Attiki,Moschato,37.95,23.67
Attiki,Kallithea,37.95,23.70
Attiki,Nea Smyrni,37.95,23.72
Attiki,Vyronas,37.96,23.75
Attiki,Paiania,37.96,23.85
Attiki,Salamina,37.97,23.50
Attiki,Nikaia,37.97,23.63
Attiki,Agios Ioannis Rentis,37.97,23.67
Attiki,Tavros,37.97,23.70
Attiki,Kaisariani,37.97,23.76
Attiki,Artemida,37.97,24.00
Attiki,Korydallos,37.98,23.65
Attiki,Athens,37.98,23.73
Attiki,Zografos,37.98,23.77
Attiki,Keratsini,37.99,23.62
Attiki,Aigaleo,37.99,23.68
Attiki,Perama,38.00,23.59
Attiki,Agia Paraskevi,38.01,23.82
Attiki,Chaidari,38.02,23.65
Attiki,Peristeri,38.02,23.68
Attiki,Galatsi,38.02,23.75
Attiki,Chalandri,38.02,23.80
Attiki,Elefsina,38.03,23.53
Attiki,Petroupoli,38.03,23.68
Attiki,Ilion,38.03,23.70
Attiki,Agioi Anargyroi,38.03,23.72
Attiki,Nea Ionia,38.03,23.75
Attiki,Nea Filadelfeia,38.04,23.74
Attiki,Irakleio,38.05,23.77
Attiki,Marousi,38.05,23.80
Attiki,Pefki,38.07,23.80
Attiki,Acharnes,38.08,23.73
Attiki,Kifisia,38.08,23.82
Attiki,Nea Makri,38.08,23.98
Attiki,Nea Erythraia,38.11,23.82
Attiki,Agios Stefanos,38.14,23.86
Dytiki Ellada,Pyrgos,37.67,21.43
Dytiki Ellada,Amaliada,37.80,21.35
Dytiki Ellada,Patra,38.25,21.73
Dytiki Makedonia,Kozani,40.30,21.78
Dytiki Makedonia,Kastoria,40.52,21.27
Dytiki Makedonia,Ptolemaida,40.52,21.68
Dytiki Makedonia,Florina,40.78,21.40
Kentriki Makedonia,Peraia,40.50,22.93
Kentriki Makedonia,Thermi,40.55,23.02
Kentriki Makedonia,Kalamaria,40.58,22.95
Kentriki Makedonia,Panorama,40.58,23.03
Kentriki Makedonia,Alexandreia,40.63,22.45
Kentriki Makedonia,Thessaloniki,40.64,22.93
Kentriki Makedonia,Evosmos,40.67,22.91
Kentriki Makedonia,Stavroupoli,40.67,22.93
Kentriki Makedonia,Efkarpia,40.68,22.95
Kentriki Makedonia,Giannitsa,40.78,22.40
Kentriki Makedonia,Edessa,40.80,22.05
Peloponnisos,Kalamata,37.04,22.11
Peloponnisos,Sparti,37.07,22.43
Peloponnisos,Tripoli,37.52,22.38
Peloponnisos,Korinthos,37.94,22.93
Sterea Ellada,Chalkida,38.46,23.59
Sterea Ellada,Lamia,38.90,22.43
Thessalia,Karditsa,39.37,21.92
Thessalia,Volos,39.37,22.93
Thessalia,Larissa,39.61,22.43
